taxsimid,year,state,mstat,page,sage,depx,pwages,psemp,swages,ssemp,dividends,intrec,stcg,ltcg,otherprop,nonprop,pensions,gssi,pui,sui,transfers,rentpaid,proptax,otheritem,childcare,mortgage,scorp,idtl,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10,age11
88072,2025,1,2,85,85,0,0.0,0.0,730.2445678710938,0.0,157.05437469482422,174.24079275131226,0.0,0.0,0,0,0.0,32411.2808988764,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88073,2025,1,1,64,0,0,40954.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88074,2025,1,2,68,68,0,0.0,0.0,9933.30078125,0.0,44.85200500488281,94.06587219238281,-0.08496805280447006,0.0,0,0,0.0,31553.19101123595,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88075,2025,1,1,30,0,1,9164.251953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,6733.274802458296,0.0,0,0.0,0.0,0.0,2,5.0,,,,,,,,,,
88076,2025,1,2,68,68,0,591.3352661132812,0.0,0.0,0.0,2003.26806640625,195.739501953125,0.0,2798.156982421875,0,0,0.0,53937.078651685384,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88077,2025,1,2,63,59,0,61114.78515625,0.0,12175.333984375,0.0,1362.73046875,361.61285400390625,0.0,212.35232543945312,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88078,2025,1,2,61,61,0,300188.0,408726.40625,35051.13671875,0.0,650725.0625,203717.42300605774,50890.34765625,60685544.0,0,0,83239.1328125,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3240094.25,2,,,,,,,,,,,
88079,2025,1,1,66,0,0,0.0,0.0,0.0,0.0,0.0,40.41845703125,0.0,0.0,0,0,0.0,7220.213483146066,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88080,2025,1,2,56,51,0,102728.296875,0.0,0.0,-26773.91796875,1329.2425537109375,273.5704650878906,-1559320.875,-34644.517028808594,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-779328.75,2,,,,,,,,,,,
88081,2025,1,2,39,18,1,641365.0,0.0,2937.52001953125,0.0,10995.845703125,2493.68408203125,0.0,26734.421875,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,12.0,,,,,,,,,,
88082,2025,1,1,25,0,0,18399.728515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,,,,,,,,,,,
88083,2025,1,1,40,0,2,0.0,-41864.6640625,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2,15.0,13.0,,,,,,,,,
88084,2025,1,2,25,25,0,10269.8486328125,-878.0256958007812,61065.4375,21754.330078125,3588.650634765625,25.704288482666016,3105.066650390625,3881.33349609375,0,0,1682.0968017578125,0.0,0.0,0.0,0,10773.239683933274,0.0,0,0.0,0.0,7924.5244140625,2,,,,,,,,,,,
